epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,174.187,1.11361,0.55533,0.90426,0.86577,0.89204,0.88982,0.5451,1.368,1.31001,1.01231,0.000487162,0.000487162,0.000487162
43,178.631,1.20155,0.58876,0.92211,0.83242,0.8617,0.88121,0.53802,1.41453,1.35728,1.00823,0.000490728,0.000490728,0.000490728
44,182.562,1.16075,0.57326,0.90817,0.83242,0.8617,0.88121,0.53802,1.41453,1.35728,1.00823,0.000493898,0.000493898,0.000493898
45,186.44,1.1784,0.5982,0.92596,0.83034,0.88298,0.88928,0.51513,1.47043,1.32632,1.01299,0.000496672,0.000496672,0.000496672
46,190.787,1.09224,0.57771,0.90947,0.83034,0.88298,0.88928,0.51513,1.47043,1.32632,1.01299,0.00049905,0.00049905,0.00049905
47,194.971,1.27285,0.65635,0.98947,0.83181,0.89443,0.89109,0.53256,1.40385,1.15908,0.99575,0.000501032,0.000501032,0.000501032
48,199.311,1.1209,0.56702,0.89553,0.83181,0.89443,0.89109,0.53256,1.40385,1.15908,0.99575,0.000502618,0.000502618,0.000502618
49,203.121,1.11753,0.57217,0.89934,0.84325,0.90426,0.88704,0.55272,1.29929,1.04841,0.97697,0.000503808,0.000503808,0.000503808
50,207.041,1.07093,0.55494,0.90892,0.84325,0.90426,0.88704,0.55272,1.29929,1.04841,0.97697,0.000504602,0.000504602,0.000504602
51,210.865,1.11347,0.56619,0.91891,0.83006,0.92553,0.90592,0.55615,1.34606,1.05841,0.9901,0.000505,0.000505,0.000505
52,214.996,1.12598,0.56828,0.90584,0.83006,0.92553,0.90592,0.55615,1.34606,1.05841,0.9901,0.000505002,0.000505002,0.000505002
53,219.267,1.149,0.56348,0.91963,0.83006,0.92553,0.90592,0.55615,1.34606,1.05841,0.9901,0.000504608,0.000504608,0.000504608
54,223.351,1.1708,0.58856,0.89997,0.83948,0.94581,0.91324,0.55427,1.3829,1.05416,1.00004,0.000503818,0.000503818,0.000503818
55,227.052,1.05839,0.52613,0.90993,0.83948,0.94581,0.91324,0.55427,1.3829,1.05416,1.00004,0.000502632,0.000502632,0.000502632
56,230.795,1.06433,0.5229,0.90251,0.83948,0.94581,0.91324,0.55427,1.3829,1.05416,1.00004,0.00050105,0.00050105,0.00050105
57,234.523,1.08793,0.5359,0.89518,0.8278,0.90426,0.91073,0.5847,1.26303,0.9813,0.9725,0.000499072,0.000499072,0.000499072
58,238.041,1.05654,0.51769,0.89225,0.8278,0.90426,0.91073,0.5847,1.26303,0.9813,0.9725,0.000496698,0.000496698,0.000496698
59,241.715,1.08844,0.52768,0.91188,0.8278,0.90426,0.91073,0.5847,1.26303,0.9813,0.9725,0.000493928,0.000493928,0.000493928
60,245.458,1.0671,0.51724,0.8815,0.83483,0.90426,0.90252,0.56832,1.30341,0.97644,0.97753,0.000490762,0.000490762,0.000490762
61,249.137,1.20918,0.55539,0.91417,0.83483,0.90426,0.90252,0.56832,1.30341,0.97644,0.97753,0.0004872,0.0004872,0.0004872
62,252.957,1.10435,0.5219,0.89532,0.83483,0.90426,0.90252,0.56832,1.30341,0.97644,0.97753,0.000483242,0.000483242,0.000483242
63,256.87,1.17986,0.55355,0.90486,0.87266,0.88298,0.89458,0.54557,1.34269,0.94515,0.98565,0.000478888,0.000478888,0.000478888
64,260.72,1.14041,0.55337,0.9245,0.87266,0.88298,0.89458,0.54557,1.34269,0.94515,0.98565,0.000474138,0.000474138,0.000474138
65,264.455,1.13849,0.5734,0.92929,0.87266,0.88298,0.89458,0.54557,1.34269,0.94515,0.98565,0.000468992,0.000468992,0.000468992
66,268.204,1.17292,0.54902,0.89607,0.86508,0.87234,0.89579,0.55004,1.27453,0.83246,0.96739,0.00046345,0.00046345,0.00046345
67,272.064,1.12637,0.55801,0.92557,0.86508,0.87234,0.89579,0.55004,1.27453,0.83246,0.96739,0.000457512,0.000457512,0.000457512
68,275.676,1.09812,0.5447,0.89126,0.86508,0.87234,0.89579,0.55004,1.27453,0.83246,0.96739,0.000451178,0.000451178,0.000451178
69,279.591,1.14944,0.5601,0.8932,0.88118,0.87234,0.90208,0.59678,1.17756,0.75751,0.95196,0.000444448,0.000444448,0.000444448
70,283.436,0.99345,0.51425,0.87022,0.88118,0.87234,0.90208,0.59678,1.17756,0.75751,0.95196,0.000437322,0.000437322,0.000437322
71,288.108,1.13611,0.54167,0.87576,0.88118,0.87234,0.90208,0.59678,1.17756,0.75751,0.95196,0.0004298,0.0004298,0.0004298
72,292.088,1.15516,0.55835,0.90716,0.88587,0.87234,0.90576,0.61123,1.15272,0.72889,0.95297,0.000421882,0.000421882,0.000421882
73,295.662,1.13036,0.54172,0.90677,0.88587,0.87234,0.90576,0.61123,1.15272,0.72889,0.95297,0.000413568,0.000413568,0.000413568
74,299.438,1.09465,0.52899,0.8749,0.88587,0.87234,0.90576,0.61123,1.15272,0.72889,0.95297,0.000404858,0.000404858,0.000404858
75,303.389,1.04194,0.53283,0.90356,0.89792,0.84216,0.90991,0.5992,1.21844,0.7289,0.96717,0.000395752,0.000395752,0.000395752
76,307.301,1.03289,0.5107,0.88371,0.89792,0.84216,0.90991,0.5992,1.21844,0.7289,0.96717,0.00038625,0.00038625,0.00038625
77,311.272,1.0935,0.5336,0.90026,0.89792,0.84216,0.90991,0.5992,1.21844,0.7289,0.96717,0.000376352,0.000376352,0.000376352
78,315.185,0.94898,0.48243,0.87313,0.88601,0.87234,0.91436,0.58095,1.29032,0.72955,0.9834,0.000366058,0.000366058,0.000366058
